sensor,temperature,humidity,zone,location,timestamp
{'EEC412FDCADF'},16.139999,74.544998,zone1,top,2024-06-19 04:27:02
{'DBC358D90370'},15.475000,80.974998,zone3,top,2024-06-19 04:27:02
{'C37E14567097'},16.500000,76.792503,zone3,bottom,2024-06-19 04:37:02
{'DBC358D90370'},16.680000,78.035004,zone3,top,2024-06-19 04:37:03
{'C571D4304234'},16.750000,77.589996,zone2,top,2024-06-19 04:37:03
{'C571D4304234'},17.955000,73.352501,zone2,top,2024-06-19 04:47:03
{'C631F5295273'},17.420000,72.364998,zone1,bottom,2024-06-19 04:47:04
{'C571D4304234'},17.940001,72.592499,zone2,top,2024-06-19 04:57:03
{'C37E14567097'},17.469999,73.262497,zone3,bottom,2024-06-19 04:57:03
{'EEC412FDCADF'},17.885000,69.807503,zone1,top,2024-06-19 04:57:03
{'EEC412FDCADF'},17.695000,69.247498,zone1,top,2024-06-19 05:07:03
{'C631F5295273'},17.445000,71.389999,zone1,bottom,2024-06-19 05:07:04
{'DBC358D90370'},17.850000,71.417503,zone3,top,2024-06-19 05:17:04
{'C631F5295273'},17.665001,70.922501,zone1,bottom,2024-06-19 05:17:04
{'EEC412FDCADF'},17.865000,68.815002,zone1,top,2024-06-19 05:17:05
{'C571D4304234'},18.780001,69.065002,zone2,top,2024-06-19 05:27:05
{'EEC412FDCADF'},18.705000,67.500000,zone1,top,2024-06-19 05:27:06
{'C4D912ED63C6'},19.165001,67.302498,zone2,bottom,2024-06-19 05:37:06
{'DBC358D90370'},19.084999,67.474998,zone3,top,2024-06-19 05:37:06
{'C571D4304234'},19.100000,67.074997,zone2,top,2024-06-19 05:37:06
{'C37E14567097'},18.209999,68.580002,zone3,bottom,2024-06-19 05:47:06
{'C631F5295273'},16.295000,85.222504,zone1,bottom,2024-06-19 05:47:07
{'DBC358D90370'},18.959999,67.355003,zone3,top,2024-06-19 05:47:07
{'EEC412FDCADF'},17.080000,81.092499,zone1,top,2024-06-19 05:57:07
{'C37E14567097'},19.190001,66.467499,zone3,bottom,2024-06-19 05:57:07
{'C631F5295273'},16.820000,85.355003,zone1,bottom,2024-06-19 05:57:08
{'C37E14567097'},20.280001,64.195000,zone3,bottom,2024-06-19 06:07:07
{'C631F5295273'},17.940001,85.757500,zone1,bottom,2024-06-19 06:07:08
{'C571D4304234'},20.540001,63.220001,zone2,top,2024-06-19 06:07:08
{'C4D912ED63C6'},20.815001,63.287498,zone2,bottom,2024-06-19 06:07:07
{'C4D912ED63C6'},21.170000,61.337502,zone2,bottom,2024-06-19 06:17:08
{'C37E14567097'},20.500000,62.602501,zone3,bottom,2024-06-19 06:17:09
{'C571D4304234'},20.959999,61.709999,zone2,top,2024-06-19 06:17:09
{'DBC358D90370'},21.080000,60.902500,zone3,top,2024-06-19 06:27:09
{'C4D912ED63C6'},20.945000,61.020000,zone2,bottom,2024-06-19 06:27:09
{'C571D4304234'},20.695000,60.867500,zone2,top,2024-06-19 06:37:09
{'C4D912ED63C6'},20.805000,60.705002,zone2,bottom,2024-06-19 06:37:09
{'C37E14567097'},20.190001,61.904999,zone3,bottom,2024-06-19 06:37:11
{'C631F5295273'},18.209999,86.032501,zone1,bottom,2024-06-19 06:37:11
{'EEC412FDCADF'},18.280001,77.735001,zone1,top,2024-06-19 06:37:12
{'C631F5295273'},18.565001,85.139999,zone1,bottom,2024-06-19 06:47:10
{'C571D4304234'},21.030001,59.709999,zone2,top,2024-06-19 06:47:11
{'EEC412FDCADF'},18.709999,76.742500,zone1,top,2024-06-19 06:57:10
{'C4D912ED63C6'},20.940001,59.602501,zone2,bottom,2024-06-19 06:57:10
{'C571D4304234'},20.795000,59.860001,zone2,top,2024-06-19 06:57:11
{'C571D4304234'},21.250000,59.452499,zone2,top,2024-06-19 07:07:10
{'C4D912ED63C6'},21.334999,59.009998,zone2,bottom,2024-06-19 07:07:10
{'EEC412FDCADF'},19.455000,75.677498,zone1,top,2024-06-19 07:07:12
{'C631F5295273'},19.180000,86.510002,zone1,bottom,2024-06-19 07:07:12
{'C37E14567097'},20.275000,61.709999,zone3,bottom,2024-06-19 07:07:13
{'C4D912ED63C6'},21.805000,57.272499,zone2,bottom,2024-06-19 07:17:10
{'EEC412FDCADF'},19.790001,74.327499,zone1,top,2024-06-19 07:17:11
{'DBC358D90370'},21.735001,57.404999,zone3,top,2024-06-19 07:17:11
{'C571D4304234'},22.165001,56.064999,zone2,top,2024-06-19 07:27:11
{'C37E14567097'},21.010000,58.939999,zone3,bottom,2024-06-19 07:27:11
{'C4D912ED63C6'},22.235001,55.730000,zone2,bottom,2024-06-19 07:27:11
{'C37E14567097'},20.790001,58.572498,zone3,bottom,2024-06-19 07:37:11
{'DBC358D90370'},21.415001,56.419998,zone3,top,2024-06-19 07:37:11
{'C631F5295273'},18.795000,72.449997,zone1,bottom,2024-06-19 07:37:12
{'C631F5295273'},18.540001,72.627502,zone1,bottom,2024-06-19 07:47:11
{'C4D912ED63C6'},20.875000,58.299999,zone2,bottom,2024-06-19 07:47:11
{'EEC412FDCADF'},18.805000,68.570000,zone1,top,2024-06-19 07:47:12
{'C4D912ED63C6'},20.740000,57.980000,zone2,bottom,2024-06-19 07:57:14
{'C37E14567097'},20.190001,59.645000,zone3,bottom,2024-06-19 07:57:15
